;Unnamed: 0;emoji;text_ita;unicodePoint;emoj_code
0;1;😀;Faccina Con Un Gran Sorriso;U+1F600;:grinning_face:
1;2;😃;Faccina Con Un Gran Sorriso E Occhi Spalancati;U+1F603;:grinning_face_with_big_eyes:
2;3;😄;Faccina Con Sorriso E Occhi Sorridenti;U+1F604;:grinning_face_with_smiling_eyes:
3;4;😁;Faccina Raggiante Con Occhi Felici;U+1F601;:beaming_face_with_smiling_eyes:
4;5;😆;Sorriso A Bocca Aperta Con Occhi Chiusi;U+1F606;:grinning_squinting_face:
5;6;😅;Faccina Con Un Gran Sorriso E Goccia Di Sudore;U+1F605;:grinning_face_with_sweat:
6;7;🤣;Ridere A Crepapelle;U+1F923;:rolling_on_the_floor_laughing:
7;8;😂;Faccina Con Lacrime Di Gioia;U+1F602;:face_with_tears_of_joy:
8;9;🙂;Faccina Con Sorriso Accennato;U+1F642;:slightly_smiling_face:
9;10;🙃;Faccina Sottosopra;U+1F643;:upside-down_face:
10;11;😉;Faccina Che Fa L’occhiolino;U+1F609;:winking_face:
11;12;😊;Faccina Con Occhi Sorridenti;U+1F60A;:smiling_face_with_smiling_eyes:
12;13;😇;Faccina Con Sorriso E Aureola;U+1F607;:smiling_face_with_halo:
13;14;🥰;Faccina Con Cuoricini;U+1F970;:smiling_face_with_3_hearts:
14;15;😍;Faccina Con Sorriso E Occhi A Cuore;U+1F60D;:smiling_face_with_heart-eyes:
15;16;🤩;Colpo Di Fulmine;U+1F929;:star-struck:
16;17;😘;Faccina Che Manda Un Bacio;U+1F618;:face_blowing_a_kiss:
17;18;😗;Faccina Che Bacia;U+1F617;:kissing_face:
18;19;☺️;Faccina Sorridente;U+263A U+FE0F;:smiling_face:
19;20;😚;Faccina Che Bacia Con Occhi Chiusi;U+1F61A;:kissing_face_with_closed_eyes:
20;21;😙;Faccina Che Bacia Con Occhi Sorridenti;U+1F619;:kissing_face_with_smiling_eyes:
21;22;🥲;Faccina Sorridente Con Lacrima;U+1F972;🥲
22;23;😋;Faccina Che Si Lecca I Baffi;U+1F60B;:face_savoring_food:
23;24;😛;Faccina Che Mostra La Lingua;U+1F61B;:face_with_tongue:
24;25;😜;Faccina Che Fa L’occhiolino E Mostra La Lingua;U+1F61C;:winking_face_with_tongue:
25;26;🤪;Faccina Impazzita;U+1F92A;:zany_face:
26;27;😝;Faccina Con Un Gran Sorriso Che Mostra La Lingua;U+1F61D;:squinting_face_with_tongue:
27;28;🤑;Faccina Avida Di Denaro;U+1F911;:money-mouth_face:
28;29;🤗;Faccina Che Abbraccia;U+1F917;:hugging_face:
29;30;🤭;Faccina Con Mano Sulla Bocca;U+1F92D;:face_with_hand_over_mouth:
30;31;🤫;Faccina Che Zittisce;U+1F92B;:shushing_face:
31;32;🤔;Faccina Concentrata;U+1F914;:thinking_face:
32;33;🤐;Faccina Con Bocca Con Cerniera;U+1F910;:zipper-mouth_face:
33;34;🤨;Faccia Con Sopracciglia Alzate;U+1F928;:face_with_raised_eyebrow:
34;35;😐;Faccina Neutra;U+1F610;:neutral_face:
35;36;😑;Faccina Inespressiva;U+1F611;:expressionless_face:
36;37;😶;Faccina Senza Bocca;U+1F636;:face_without_mouth:
37;38;😏;Faccina Con Sorrisetto;U+1F60F;:smirking_face:
38;39;😒;Faccina Contrariata;U+1F612;:unamused_face:
39;40;🙄;Faccina Con Occhi Al Cielo;U+1F644;:face_with_rolling_eyes:
40;41;😬;Faccina Con Smorfia;U+1F62C;:grimacing_face:
41;42;🤥;Faccina Bugiarda;U+1F925;:lying_face:
42;43;😌;Faccina Sollevata;U+1F60C;:relieved_face:
43;44;😔;Faccina Pensierosa;U+1F614;:pensive_face:
44;45;😪;Faccina Assonnata;U+1F62A;:sleepy_face:
45;46;🤤;Faccina Che Sbava;U+1F924;:drooling_face:
46;47;😴;Faccina Che Dorme;U+1F634;:sleeping_face:
47;48;😷;Faccina Con Mascherina;U+1F637;:face_with_medical_mask:
48;49;🤒;Faccina Con Termometro;U+1F912;:face_with_thermometer:
49;50;🤕;Faccina Con La Testa Bendata;U+1F915;:face_with_head-bandage:
50;51;🤢;Faccina Nauseata;U+1F922;:nauseated_face:
51;52;🤮;Faccina Che Vomita;U+1F92E;:face_vomiting:
52;53;🤧;Faccina Che Starnutisce;U+1F927;:sneezing_face:
53;54;🥵;Faccina Accaldata;U+1F975;:hot_face:
54;55;🥶;Faccina Congelata;U+1F976;:cold_face:
55;56;🥴;Faccina Stordita;U+1F974;:woozy_face:
56;57;😵;Faccina Frastornata;U+1F635;:dizzy_face:
57;58;🤯;Testa Che Esplode;U+1F92F;:exploding_head:
58;59;🤠;Faccina Con Cappello Da Cowboy;U+1F920;:cowboy_hat_face:
59;60;🥳;Faccina Che Festeggia;U+1F973;:partying_face:
60;61;🥸;Faccina Travestita;U+1F978;🥸
61;62;😎;Faccina Con Sorriso E Occhiali Da Sole;U+1F60E;:smiling_face_with_sunglasses:
62;63;🤓;Faccina Nerd;U+1F913;:nerd_face:
63;64;🧐;Faccina Con Monocolo;U+1F9D0;:face_with_monocle:
64;65;😕;Faccina Confusa;U+1F615;:confused_face:
65;66;😟;Faccina Preoccupata;U+1F61F;:worried_face:
66;67;🙁;Faccina Leggermente Imbronciata;U+1F641;:slightly_frowning_face:
67;68;☹️;Faccina Imbronciata;U+2639 U+FE0F;:frowning_face:
68;69;😮;Faccina Con Bocca Aperta;U+1F62E;:face_with_open_mouth:
69;70;😯;Faccina Sorpresa;U+1F62F;:hushed_face:
70;71;😲;Faccina Stupita;U+1F632;:astonished_face:
71;72;😳;Faccina Imbarazzata;U+1F633;:flushed_face:
72;73;🥺;Faccina Supplichevole;U+1F97A;:pleading_face:
73;74;😦;Faccina Imbronciata Con Bocca Aperta;U+1F626;:frowning_face_with_open_mouth:
74;75;😧;Faccina Angosciata;U+1F627;:anguished_face:
75;76;😨;Faccina Impaurita;U+1F628;:fearful_face:
76;77;😰;Faccina Sudata In Ansia;U+1F630;:anxious_face_with_sweat:
77;78;😥;Faccina Delusa Ma Sollevata;U+1F625;:sad_but_relieved_face:
78;79;😢;Faccina Che Piange;U+1F622;:crying_face:
79;80;😭;Faccina Disperata;U+1F62D;:loudly_crying_face:
80;81;😱;Faccina Terrorizzata;U+1F631;:face_screaming_in_fear:
81;82;😖;Faccina Frustrata;U+1F616;:confounded_face:
82;83;😣;Faccina Perseverante;U+1F623;:persevering_face:
83;84;😞;Faccina Delusa;U+1F61E;:disappointed_face:
84;85;😓;Faccina Sudata;U+1F613;:downcast_face_with_sweat:
85;86;😩;Faccina Esausta;U+1F629;:weary_face:
86;87;😫;Faccina Stanca;U+1F62B;:tired_face:
87;88;🥱;Faccina Che Sbadiglia;U+1F971;:yawning_face:
88;89;😤;Faccina Che Sbuffa;U+1F624;:face_with_steam_from_nose:
